endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
55660000,BEZERROS,PE,NORDESTE,AGRESTE PERNAMBUCANO
37720000,BOTELHOS,MG,SUDESTE,SUL SUDOESTE DE MINAS
86808015,APUCARANA,PR,SUL,NORTE CENTRAL PARANAENSE
05889430,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
62885340,HORIZONTE,CE,NORDESTE,METROPOLITANA DE FORTALEZA
59154110,PARNAMIRIM,RN,NORDESTE,LESTE POTIGUAR
81810290,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
26587330,MESQUITA,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
38440042,ARAGUARI,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
88708791,TUBARAO,SC,SUL,SUL CATARINENSE
08573160,ITAQUAQUECETUBA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
87240000,TERRA BOA,PR,SUL,CENTRO OCIDENTAL PARANAENSE
38640000,RIACHINHO,MG,SUDESTE,NORTE DE MINAS
96540000,AGUDO,RS,SUL,CENTRO OCIDENTAL RIO GRANDENSE
88801100,CRICIUMA,SC,SUL,SUL CATARINENSE
89035200,BLUMENAU,SC,SUL,VALE DO ITAJAI
74280290,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
11088100,SANTOS,SP,SUDESTE,METROPOLITANA DE SAO PAULO
05615040,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
54325740,JABOATAO DOS GUARARAPES,PE,NORDESTE,METROPOLITANA DE RECIFE
15135022,MIRASSOL,SP,SUDESTE,SAO JOSE DO RIO PRETO
08780500,MOGI DAS CRUZES,SP,SUDESTE,METROPOLITANA DE SAO PAULO
44270000,TERRA NOVA,BA,NORDESTE,METROPOLITANA DE SALVADOR
13304080,ITU,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
28375000,VARRE SAI,RJ,SUDESTE,NOROESTE FLUMINENSE
98360970,RODEIO BONITO,RS,SUL,NOROESTE RIO GRANDENSE
13231610,CAMPO LIMPO PAULISTA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
45530000,ITACARE,BA,NORDESTE,SUL BAIANO
83406550,COLOMBO,PR,SUL,METROPOLITANA DE CURITIBA
05754071,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
60831160,FORTALEZA,CE,NORDESTE,METROPOLITANA DE FORTALEZA
85801001,CASCAVEL,PR,SUL,OESTE PARANAENSE
41710220,SALVADOR,BA,NORDESTE,METROPOLITANA DE SALVADOR
35520016,NOVA SERRANA,MG,SUDESTE,OESTE DE MINAS
18900488,SANTA CRUZ DO RIO PARDO,SP,SUDESTE,ASSIS
72316020,BRASILIA,DF,CENTRO-OESTE,DISTRITO FEDERAL
37520000,PEDRALVA,MG,SUDESTE,SUL SUDOESTE DE MINAS
69065030,MANAUS,AM,NORTE,CENTRO AMAZONENSE
