cnpj,optante_simples,optante_simei
25359110000175,Sim,Sim
25534627000153,Sim,Não
25681947000136,Não,Não
26033728000103,Sim,Sim
26078564000130,Sim,Sim
26117255002176,Não informado,Não informado
26147855000133,Sim,Sim
26163591000101,Não,Não
26198843000138,Sim,Sim
26203670000107,Sim,Sim
26258522000181,Sim,Sim
26267372000172,Sim,Sim
26319778000151,Sim,Sim
26375585000118,Não,Não
26413147000105,Sim,Sim
26421427000157,Sim,Sim
26442031000196,Não,Não
26472532000115,Sim,Não
26474744000131,Não,Não
26489370000128,Sim,Sim
26495602000150,Sim,Não
26511762000146,Sim,Sim
26545757000235,Não informado,Não informado
26578673000117,Sim,Não
26585884000187,Sim,Sim
26677034000109,Sim,Não
26686777000145,Sim,Sim
26698524000191,Não,Não
26744659000146,Sim,Não
26859766000110,Sim,Sim
26904863000187,Sim,Sim
26979554000176,Sim,Não
27009301000132,Sim,Não
27033634000105,Sim,Sim
27038048000145,Sim,Não
27080808000182,Sim,Não
27082822000115,Sim,Sim
27139298000171,Sim,Sim
27151353000149,Sim,Sim
27164746000197,Sim,Não
27167403000186,Não,Não
27205817000152,Não,Não
27223582000121,Sim,Sim
27252486000101,Sim,Sim
27285912000103,Sim,Sim
27355258000167,Não,Não
27359745000106,Sim,Sim
27398823000173,Sim,Sim
27405911000155,Sim,Sim
27470069000135,Sim,Não
27513690000139,Sim,Sim
27539751000137,Sim,Não
27542156000150,Não,Não
27565880000108,Sim,Sim
27600290000160,Não,Não
27601055000103,Sim,Sim
27610762000166,Sim,Não
27645901000197,Sim,Sim
27662366000182,Sim,Sim
27672439000117,Não,Não
27679718000102,Sim,Sim
27728826000128,Sim,Sim
27735633000102,Não,Não
27808046000198,Sim,Sim
27843674000104,Sim,Sim
27854024000164,Sim,Sim
27897149000171,Não,Não
27922822000186,Sim,Não
27928798000192,Sim,Sim
27952836000142,Sim,Sim
28106267000187,Não,Não
28167662000170,Sim,Sim
28193840000137,Sim,Não
28277024000101,Sim,Não
28279202000133,Sim,Não
28318338000296,Não informado,Não informado
28382603000114,Sim,Sim
28390628000160,Sim,Sim
28419352000103,Sim,Não
28435370000251,Não,Não
28508910000107,Sim,Não
28527449000121,Não,Não
28535512000171,Sim,Não
28572297000189,Sim,Sim
28587433000104,Sim,Sim
28661345000105,Sim,Sim
28673126000227,Não informado,Não informado
28678234000101,Sim,Não
28689728000191,Sim,Sim
28731394000177,Sim,Não
28756538000140,Sim,Sim
28762286000161,Sim,Sim
28852331000179,Sim,Sim
28887331000104,Sim,Sim
28924416000115,Sim,Não
28940246000162,Sim,Sim
28987607000126,Sim,Sim
29088445000157,Não,Não
29096067000153,Sim,Sim
29100634000106,Sim,Não
29180947000103,Não,Não
29206677000162,Sim,Sim
29232603000109,Sim,Sim
29241082000148,Não,Não
29286662000151,Sim,Não
29335864000146,Sim,Sim
29396932000349,Não informado,Não informado
29410202000193,Sim,Não
29530710000105,Sim,Sim
29574783000107,Sim,Sim
29678780000105,Não,Não
29721844000103,Sim,Sim
29782945000194,Sim,Não
29852104000106,Sim,Não
29859266000176,Sim,Sim
29878298000119,Sim,Sim
29888430000173,Sim,Sim
29909872000159,Sim,Sim
29913391000117,Sim,Sim
29995914000111,Sim,Não
29997526000170,Sim,Sim
30006797000103,Sim,Sim
30084870000157,Sim,Sim
30099073000143,Sim,Sim
30125363000114,Não,Não
30187803000168,Sim,Sim
30333717000116,Sim,Sim
30348102000163,Sim,Sim
30353933000123,Não,Não
30365048000164,Sim,Não
30419735000115,Sim,Sim
30469240000109,Sim,Sim
30520149000162,Sim,Sim
30578280000180,Não,Não
30603601000150,Sim,Sim
30694172000173,Sim,Não
30704851000186,Sim,Sim
30762570000180,Sim,Sim
30782932000102,Sim,Não
30840727000148,Sim,Não
30846478000106,Sim,Sim
30850228000131,Sim,Sim
30887531000109,Sim,Não
30904950000292,Não informado,Não informado
30981939000145,Sim,Sim
30993511000112,Sim,Sim
31011671000181,Sim,Não
31059218000145,Sim,Sim
31073279000167,Sim,Sim
31076044000129,Sim,Sim
31078085000154,Sim,Sim
31173151000175,Sim,Sim
31196344000141,Sim,Sim
31207206000110,Não,Não
31210896000167,Sim,Sim
31291215000132,Não,Não
31325341000160,Não,Não
31331372000124,Não,Não
31342945000115,Sim,Não
31443330000185,Sim,Sim
31468736000112,Sim,Sim
31495322000182,Sim,Sim
31607703000106,Sim,Sim
31678415000142,Sim,Sim
31679468000188,Sim,Sim
31688437000193,Sim,Não
31704495000163,Sim,Sim
31707502000180,Sim,Sim
31726624000114,Não,Não
31747165000155,Não,Não
31852638000184,Não,Não
31858578000107,Sim,Sim
31909364000112,Sim,Não
31922519000150,Sim,Não
31939974000169,Sim,Sim
31957017000165,Sim,Sim
31967515000199,Sim,Sim
31991099000164,Sim,Não
32013129000120,Sim,Não
32032626000176,Sim,Sim
32038687000140,Sim,Sim
32040285000180,Sim,Sim
32116825000162,Sim,Sim
32141669000190,Não,Não
32160144000100,Sim,Sim
32255271000184,Sim,Não
32332503000150,Sim,Sim
32384664000198,Sim,Sim
32388708000158,Sim,Sim
32426879000124,Sim,Sim
32444596000105,Sim,Sim
32475224000146,Sim,Sim
32476604000103,Sim,Não
32512744000181,Sim,Sim
32521631000142,Sim,Sim
32570753000129,Sim,Sim
32600673000179,Não,Não
32641079000126,Sim,Sim
32695928000124,Sim,Sim
32795582000136,Sim,Não
32821123000180,Sim,Sim
32873167000153,Sim,Sim
32894788000113,Sim,Sim
32907843000162,Sim,Não
32982596000169,Sim,Sim
33012386000100,Sim,Não
33018720000133,Sim,Sim
33035536000100,Não,Não
33040601000187,Não,Não
33045076000192,Sim,Sim
33047285000175,Sim,Sim
33051579000170,Sim,Sim
33071847000388,Não,Não
33094278000124,Sim,Sim
33163090000190,Sim,Sim
33164021010679,Não,Não
33203581000118,Sim,Não
33232730000177,Sim,Sim
33234152000108,Sim,Sim
33252434000138,Sim,Sim
33381286005706,Não,Não
33384549000186,Sim,Sim
33422158000109,Sim,Sim
33438545000133,Sim,Sim
33470230000173,Não,Não
33498934000154,Sim,Não
33500325000192,Sim,Não
33525358001240,Não informado,Não informado
33592510000154,Não,Não
33592770000120,Sim,Sim
33649878000101,Sim,Não
33679182000128,Sim,Sim
33698290000148,Não,Não
33720484000100,Sim,Sim
33722001000107,Sim,Não
33725169000168,Sim,Não
33736092000121,Sim,Não
33744722000100,Sim,Não
33801486000116,Sim,Sim
33818514000108,Não,Não
33839910000111,Não,Não
33851161000148,Sim,Sim
33875234000131,Sim,Não
33876229000143,Sim,Sim
33911667000103,Sim,Sim
33914833000117,Sim,Não
33948964000115,Sim,Sim
33966230000169,Sim,Não
33966327000171,Sim,Sim
33978172000355,Não,Não
34017833000187,Sim,Sim
34055658000112,Sim,Sim
34114508000132,Sim,Sim
34140132000130,Sim,Sim
34147402000135,Sim,Sim
34234562000111,Sim,Sim
34419728000174,Sim,Sim
34509375000101,Sim,Não
34514036000105,Sim,Sim
34526084000113,Não,Não
34555370000107,Sim,Não
34598776000177,Sim,Sim
34651734000152,Sim,Sim
34658709000109,Sim,Sim
34669017000158,Sim,Sim
34670717000162,Não,Não
34671367000159,Sim,Sim
34675104000118,Sim,Sim
34675972000106,Sim,Sim
34691259000148,Sim,Sim
34740824000110,Sim,Sim
