cd_processo,codigo_cnj
ce2247f424ecc9704b433c253bef2c02,9196
1d30bfae181bac45d29e2874159f3da4,9607
f9cf26be4e677ed49457bc3a967388ea,9196
047a6eceaf424d1fda0e0a436f4a1440,8843
b02a05043c93e709da0e5c96536ee215,11811
adbf1514f66fe1897cfb4868fc5b0f21,7626
4882c115be10cc6104ef6531fc2dc67c,9047
9ef8acd752dda6156b023f2cefa97f91,8843
0ce409660817f0e6382b650dc4873488,4703
673135adb6ff122c9b3b9eefa6dc4273,4703
504d36aa4d08a64a0d36b0a97debca7c,6226
65cc9c08eda2948e272baa209614537b,9047
69110e83b407c576dadba20e818a62fd,9047
67a43a3e1e913fd3d01a5dbfb4dd3584,9196
a70dba4d8659766fee4091c70fa4c3e9,4703
45f9116ff51baf162ca326632b348085,9047
a38826620ee189cd1e96b763b8ef66de,6226
5262302fa5def69641acbc42c0147396,9196
b6170b0d80542a36db566b4c3ef2b3fd,10671
c4d330571799676f6877ba44624592a7,9178
528d253eb91bbfda448563a5d90d08a5,7626
858db9cc8242ad78a4d412d36422d770,4703
8bca5bdcf1d8fa6de5fd5bd93307878a,4703
8427d07409354bb2d1c80664d34ce24b,4703
50a3160fd9ef454f4e278a4f0dfa8ec8,9196
27c062e192808a705bb6336d9c832ffe,9607
119c0915abeb5b9ab73b5455ad0e6b78,9047
4c3ce6c28a41210fdcb3ce3f6acd5bcd,11864
36786cedd69bd4cc614798a2712d363a,9148
a54a0f4696cb1dfc732b0843dddd535a,6226
44274f2b0a2b68eaf83eaa35bf4c977d,6226
4fe25e2cf2731b40f3584939253950f3,9518
8d16336b0c9de07c7e5be5c5649e5ff1,4703
3f678d5296593fca72b2ec1e8d88d44d,4703
a868a3d31e086c10a339f2d173ce88a2,9559
7390907352fc2f3dc8c1762969fa52c9,10431
e1348ebe74c80f8f7b635afe523602ab,6226
043f2afac9a9a7615d2a5e50060693a1,9517
207c77b6ba626341a5eb163a6678388a,10684
4f07bff87140eee507736bc39bfb28b0,9517
232ef8e2174693d95b743da3a8b58433,9517
fa0df50094a4d3e8813b8cdcc070fcf7,9517
1ac4f59744601520ae4c1419cb2a540c,7617
bb68bc337b9e16e11a9b7834cc404eba,7691
a29b8a1cec8565709385edcb51091089,6226
18a9290434564817e8d0bf55648d5ee8,7617
29cd89b4b562a5d3dbfa91c5c7b929a2,7691
8d657953f5ed7671ea817fc1580b22f0,0
2a042aebdd6de21b914483363fe8a6d8,7691
4c4036c249eb255b3eed00687c4986a3,0
cb965dfca5f079163521506617a2f02c,1156
0c0c1ef7bbccda8eb09c9daad441cb83,899
f6f7502aa8e8f1315c706cbf88ed79ae,899
73e56b3a7dfaf1994ec674d186f7be00,7617
5c9425524ea7ccec44b5babbf5bc6a5e,7617
6664b4421752a6ce9984dac97b76b653,14
eeb8f509cdc6b0a312b3c157655d7a88,899
11754615141dcc3d7e7169e8584ca91c,899
f97a492786d187b65e6471a140b6b0ce,899
0a4c8a64fb48fef03d3b558d2a7d608c,899
860b47de48237d536b01a09ba9514768,12480
f5425b4013b9eef7d764340d9bc685cf,899
966fb12cdd44b32746bc3320c547a797,7617
7b93276ffbe8a07f055874451aceb6db,1156
09d43b68339b391d22ca373c0fbb1da2,899
2690d66d992918f0d109ea016ce1f322,899
94b9b8be43d6e4af1d16c9ebc140c7b0,899
014434343795195cbdfc18641837e293,1156
9a685342583296c193d3ffc9a7051844,899
d76686265ea125fbd08b9f3c107f0dd8,899
4e0cf6fc914388161560a5cb0e670e89,7617
228ebafe7ae39746c7ba0fd33fee1a20,899
8010f49ea94acb0bc6b0bb009f5ab833,7617
fe09a6ac58b8dadae7e9a4ba3546be8b,12480
e19ec8bc932051d3151da3a1d573aa14,899
2152b4b25564361d44925036af8a578b,899
630908aadff451a0481fab77bc27085c,7617
4d1d8d8dcc28ed6790ec547916f29623,899
0869fd4fc1352b197fb6940b732fc128,899
a36a50f3d9c883034a6eec381def4c47,7617
852b01068d46825f5154c122a09c8f7c,899
bff58d65d57a48bc0b0bd9cb14356ee7,899
249b5f7ab72289c55f6080ebaf9b9b88,7617
348e796a1035f5726ec9de66699791d5,899
9c6d5a5157bfeee8332d4fa0ac8fdd0e,7617
1d0ba22fe71e752d5cedfb4f1017197c,899
a94b1fbe525c80dcf411d14d22bb9741,7617
