cnpj,saude_tributaria
20934984000195,CINZA
20941625000165,CINZA
21016890000108,CINZA
21132306000171,VERDE
21165619000126,CINZA
21165888000192,CINZA
21209500000108,CINZA
21418344000195,VERDE
21457092000103,CINZA
21503641000139,CINZA
21532158000344,CINZA
21545556000133,VERDE
21554618000173,VERMELHO
21619776000164,CINZA
21643328000104,VERMELHO
21656561000113,CINZA
21700753000180,CINZA
21755141000194,CINZA
21761581000154,CINZA
21797670000150,CINZA
21799798000153,CINZA
21806168000169,CINZA
21882863000100,CINZA
21883618000117,CINZA
21885096000192,CINZA
21950959000168,VERDE
21957696000119,CINZA
21979382000117,CINZA
22000009000135,CINZA
22041828000120,CINZA
22163381000162,VERDE
22168825000152,CINZA
22168922000145,CINZA
22203096000128,CINZA
22213082000195,CINZA
22240048000100,CINZA
22267511000107,CINZA
22270572000123,VERDE
22353693000139,CINZA
22383107000441,CINZA
22465266000142,CINZA
22485716000169,CINZA
22526659000119,CINZA
22531817000129,CINZA
22568366000102,CINZA
22609057000125,CINZA
22617368000136,VERDE
22634221000154,CINZA
22638104000169,CINZA
22670615001210,CINZA
22680233000115,VERDE
22761107000195,CINZA
22765718000101,CINZA
22851488000101,CINZA
22863350000114,CINZA
22906458000147,CINZA
22917911000110,VERDE
23056550000128,CINZA
23153659000183,CINZA
23211226000137,VERDE
23249157000150,CINZA
23288453000160,CINZA
23305859000104,CINZA
23309137000128,CINZA
23365438000179,CINZA
23374932000108,VERDE
23426334000127,CINZA
23473489000114,CINZA
23475988000140,CINZA
23485712000143,CINZA
23506854000140,CINZA
23533692000139,CINZA
23553058000168,CINZA
23557786000148,CINZA
23589509000117,CINZA
23591961000113,CINZA
23648309000198,CINZA
23681946000166,VERDE
23715221000141,CINZA
23843542000121,CINZA
23853702000113,CINZA
23862892000135,CINZA
23894167000149,CINZA
23943196000153,CINZA
23945101000130,CINZA
23968824000155,CINZA
23977218000104,CINZA
24039733000106,CINZA
24070185000179,CINZA
24076256000140,CINZA
24081040000173,CINZA
24143859000118,CINZA
24171048000120,CINZA
24180971000200,CINZA
24300302000143,CINZA
24310374000171,CINZA
24365861000131,CINZA
24406090000183,CINZA
24442856000185,CINZA
24501572000112,CINZA
24511821000150,CINZA
24547279000196,CINZA
24582675000154,CINZA
24599077000198,CINZA
